 n sin(n) cos(n)
-- --- -----------------
 1 0.014686439244897 0.009430054193517
 2 0.015870233978020 -0.007263132469506
 3 0.002463008781086 -0.017278628635717
 4 -0.013208695330432 -0.011408233318728
 5 -0.016736385870170 0.004950839099736
 6 -0.004876720424672 0.016758132881867
 7 0.011466579289122 0.013158076576498
 8 0.017267558885336 -0.002539454651723
 9 0.007192824475800 -0.015902222984446
10 -0.009494959585377 -0.014644560842127
11 -0.017453121592008 0.000077243001590
12 -0.009364964096141 0.014728029985870
13 0.007333298200973 0.015837934122931
14 0.017289359951350 0.002386514667745
15 0.011349663896424 -0.013259055366990
16 -0.005024860803217 -0.016714311044581
17 -0.016779551653714 -0.004802506229779
18 -0.013107200096653 0.011524700664790
19 0.002615850782320 0.017256150917031
20 0.015933900515642 0.007122375596971
21 0.014602395597830 -0.009559679000426
22 -0.000154484490230 -0.017452608811550
23 -0.014769332250414 -0.009299690568164
24 -0.015805324051833 0.007403320295872
25 -0.002309973809983 0.017299752622044
26 0.013309155699775 0.011290872169405
27 0.016691908837476 -0.005098784085259
28 0.004728197968683 -0.016800641766184
29 -0.011582596307315 -0.013056066887408
30 -0.017244404954247 0.002692195676513
31 -0.007051787212893 0.015965265951145
32 0.009624211171013 0.014559944337890
33 0.017451754188613 -0.000231722952997
34 0.009234234888090 -0.014810345229544
35 -0.007473197382687 -0.015772404403455
36 -0.017309806444237 -0.002233387706998
37 -0.011231859289218 0.013358995347477
38 0.005172607497935 0.016669179687646
39 0.016821402806188 0.004653797096853
40 0.013004677950306 -0.011640265082701
41 -0.002768487838943 -0.017232321227053
42 -0.015996318676603 -0.006981060706173
43 -0.014517207893797 0.009688554833151
44 0.000308956877031 0.017450557739936
45 0.014851068119945 0.009168598337994
46 0.015739175822591 -0.007542928092742
47 0.002156757858875 -0.017319521221006
48 -0.013408573333892 -0.011172626411742
49 -0.016646124040283 0.005246329595272
50 -0.004579305071572 0.016841834367081
51 0.011697705861395 0.012953034291895
52 0.017219899972130 -0.002844725775281
53 0.006910197462126 -0.016027058083789
54 -0.009752708726548 -0.014474187102626
55 -0.017449019488955 0.000386184749557
56 -0.009102782203492 0.014891500123980
57 0.007612511060230 0.015705638960087
58 0.017328896762070 0.002080085766555
59 0.011113174697165 -0.013457888687941
60 -0.005319948933283 -0.016622742346977
61 -0.016861936048672 -0.004504723351906
62 -0.012901136923714 0.011754917518310
63 0.002920907992265 0.017207141432772
64 0.016057483570613 0.006839198868742
65 0.014430882807019 -0.009816671594628
66 -0.000463405057922 -0.017447139465798
67 -0.014931640449712 -0.009036787773719
68 -0.015671794472824 0.007681944922235
69 -0.002003372931805 0.017337932883790
70 0.013506940443688 0.011053505309963
71 0.016599035065702 -0.005393464069993
72 0.004430053398682 -0.016881707457231
73 -0.011811898932849 -0.012848986862274
74 -0.017194045858881 0.002997032997720
75 -0.006768066316663 0.016087594541135
76 0.009880442184558 0.014387295855174
77 0.017444917707290 -0.000540616289619
78 0.008970616341299 -0.014971488310917
79 -0.007751228318765 -0.015637643023713
80 -0.017346629409177 -0.001926620857193
81 -0.010993619418872 0.013555727640363
82 0.005466873565470 0.016575002660810
83 0.016901148205499 0.004355296674450
84 0.012796585129030 -0.011868648988920
85 -0.003073099300593 -0.017180613506956
86 -0.016117390405574 -0.006696801199155
87 -0.014343427100825 0.009944019247268
88 0.000617816932320 0.017442354256947
89 0.015011042927099 0.008904269202327
90 0.015603185281674 -0.007820359892771
